Created As Omnic File,BIOL 001
Raman Shift / cm-1,INT
2126.51,-51
2125.54,-33
2124.58,-12
2123.61,2
2122.65,-3
2121.68,-6
2120.72,5
2119.76,11
2118.79,27
2117.83,35
2116.86,8
2115.90,-27
2114.93,-45
2113.97,-48
2113.01,-34
2112.04,2
2111.08,35
2110.11,52
2109.15,58
2108.18,41
2107.22,6
2106.26,-30
2105.29,-61
2104.33,-65
2103.36,-21
2102.40,43
2101.44,86
2100.47,86
2099.51,59
2098.54,29
2097.58,-17
2096.61,-96
2095.65,-179
2094.69,-225
2093.72,-238
2092.76,-183
2091.79,-64
2090.83,7
2089.86,-4
2088.90,-43
2087.94,-74
2086.97,-99
2086.01,-107
2085.04,-87
2084.08,-60
2083.11,-44
2082.15,-36
2081.19,-36
2080.22,-51
2079.26,-61
2078.29,-27
2077.33,38
2076.37,64
2075.40,19
2074.44,-36
2073.47,-38
2072.51,-19
2071.54,-48
2070.58,-122
2069.62,-172
2068.65,-162
2067.69,-125
2066.72,-100
2065.76,-68
2064.79,-10
2063.83,39
2062.87,46
2061.90,20
2060.94,-19
2059.97,-52
2059.01,-76
2058.04,-90
2057.08,-90
2056.12,-91
2055.15,-110
2054.19,-119
2053.22,-90
2052.26,-60
2051.30,-59
2050.33,-79
2049.37,-93
2048.40,-65
2047.44,-3
2046.47,43
2045.51,54
2044.55,55
2043.58,65
2042.62,85
2041.65,116
2040.69,154
2039.72,180
2038.76,164
2037.80,113
2036.83,48
2035.87,-6
2034.90,-11
2033.94,21
2032.97,53
2032.01,82
2031.05,96
2030.08,72
2029.12,16
2028.15,-35
2027.19,-12
2026.23,81
2025.26,130
2024.30,110
2023.33,84
2022.37,56
2021.40,36
2020.44,33
2019.48,19
2018.51,-17
2017.55,-47
2016.58,-50
2015.62,-51
2014.65,-60
2013.69,-51
2012.73,-3
2011.76,84
2010.80,181
2009.83,236
2008.87,240
2007.90,230
2006.94,199
2005.98,130
2005.01,39
2004.05,-47
2003.08,-99
2002.12,-89
2001.15,-38
2000.19,4
1999.23,-1
1998.26,-47
1997.30,-94
1996.33,-122
1995.37,-132
1994.41,-121
1993.44,-95
1992.48,-70
1991.51,-62
1990.55,-75
1989.58,-82
1988.62,-51
1987.66,0
1986.69,34
1985.73,31
1984.76,-6
1983.80,-38
1982.83,-8
1981.87,69
1980.91,113
1979.94,71
1978.98,-36
1978.01,-126
1977.05,-145
1976.08,-120
1975.12,-96
1974.16,-93
1973.19,-113
1972.23,-138
1971.26,-133
1970.30,-74
1969.34,-0
1968.37,26
1967.41,-5
1966.44,-49
1965.48,-71
1964.51,-67
1963.55,-42
1962.59,-13
1961.62,12
1960.66,10
1959.69,-55
1958.73,-147
1957.76,-196
1956.80,-204
1955.84,-181
1954.87,-105
1953.91,-38
1952.94,-19
1951.98,-11
1951.01,-34
1950.05,-86
1949.09,-96
1948.12,-53
1947.16,-25
1946.19,-54
1945.23,-105
1944.27,-123
1943.30,-88
1942.34,-15
1941.37,66
1940.41,115
1939.44,106
1938.48,46
1937.52,-35
1936.55,-100
1935.59,-109
1934.62,-76
1933.66,-57
1932.69,-60
1931.73,-37
1930.77,6
1929.80,7
1928.84,-39
1927.87,-76
1926.91,-86
1925.94,-82
1924.98,-72
1924.02,-55
1923.05,-33
1922.09,-10
1921.12,5
1920.16,12
1919.20,39
1918.23,101
1917.27,160
1916.30,163
1915.34,99
1914.37,23
1913.41,-28
1912.45,-69
1911.48,-94
1910.52,-81
1909.55,-55
1908.59,-54
1907.62,-84
1906.66,-131
1905.70,-157
1904.73,-141
1903.77,-116
1902.80,-101
1901.84,-76
